user_id,item_id,rating
39,25,2
29,1,3
15,21,2
43,22,2
8,21,5
21,6,4
39,6,4
19,23,3
23,16,3
11,4,4
11,30,5
24,11,4
36,30,5
40,30,3
24,30,1
3,24,3
22,23,3
2,9,2
24,23,2
44,3,2
30,19,2
38,8,5
2,5,4
21,4,1
33,24,3
12,6,5
22,2,1
44,20,5
25,28,5
49,11,3
27,4,4
42,15,2
28,6,4
16,22,3
15,17,3
47,30,3
44,24,1
3,6,4
37,19,4
7,30,5
21,25,5
9,2,5
39,15,3
18,11,4
4,8,3
25,26,1
14,19,5
50,13,3
9,12,3
26,5,1
2,6,2
20,26,4
28,22,2
47,4,5
7,19,3
44,20,1
8,1,1
47,20,4
35,17,2
14,12,4
17,15,3
36,1,4
50,26,1
40,14,1
4,6,5
2,5,5
6,30,3
42,11,2
4,4,4
29,13,3
18,11,5
26,3,4
44,1,5
34,6,4
10,18,2
36,24,3
14,10,4
31,5,1
48,23,1
15,10,4
8,12,4
14,2,4
23,13,1
40,8,1
21,2,4
16,20,5
45,1,5
18,5,2
47,9,3
24,17,5
26,9,1
25,11,5
45,15,2
41,24,2
29,6,3
15,23,5
45,3,1
1,30,1
25,17,4
7,5,1
9,30,3
24,28,3
1,12,1
44,18,1
8,14,4
24,21,1
11,24,4
17,11,4
8,9,1
35,2,2
35,12,2
33,3,4
5,3,1
42,1,2
39,8,1
41,22,1
28,28,1
7,29,5
9,8,1
8,11,5
12,9,4
34,5,2
33,14,2
48,28,2
23,30,2
24,3,2
37,21,2
35,5,2
44,5,4
40,19,1
22,27,3
27,14,5
35,26,3
1,30,3
35,4,1
37,25,1
47,13,1
14,10,2
3,25,4
1,18,2
5,8,4
26,8,4
14,7,3
39,8,3
27,14,4
9,19,4
15,29,2
15,6,2
26,1,3
42,23,1
13,15,4
32,1,2
39,25,3
49,17,2
32,1,4
4,15,4
30,23,5
37,2,1
23,14,5
39,21,3
45,8,2
15,8,3
43,19,4
29,7,5
36,19,5
13,6,5
32,6,3
7,3,4
22,7,2
28,19,2
2,8,3
42,10,5
45,20,1
6,15,3
28,15,3
28,29,4
44,1,2
44,20,3
20,30,3
30,7,5
11,27,5
28,4,1
25,29,4
39,6,1
33,25,5
1,1,2
27,29,5
13,5,4
41,27,5
3,23,4
39,1,4
6,30,4
8,4,4
27,22,4
9,2,2
37,10,1
33,5,3
42,27,1
44,10,4
24,1,2
15,22,5
32,6,2
32,13,4
24,15,2
41,4,2
49,13,4
49,24,2
12,20,3
39,24,3
2,15,2
3,29,5
49,8,4
37,5,3
49,29,5
17,15,2
49,4,5
2,12,1
2,13,3
28,2,2
23,27,4
37,19,2
32,19,4
33,4,2
1,4,5
19,26,5
2,11,5
44,27,1
26,5,4
32,20,5
6,11,1
32,30,4
4,10,2
11,8,1
17,6,3
38,6,1
24,8,1
5,23,4
34,15,2
6,26,3
22,14,5
11,11,5
48,12,1
16,26,4
33,13,4
9,8,5
6,30,3
16,18,2
29,25,3
3,1,2
20,15,5
36,8,2
19,28,4
26,11,1
3,12,1
19,12,5
20,4,4
32,16,3
7,4,4
41,5,1
33,24,1
40,5,4
39,8,4
18,10,1
40,17,3
1,28,5
11,26,5
28,9,4
25,22,5
50,19,1
23,29,1
31,14,4
30,8,4
42,9,4
35,22,3
7,11,5
16,23,4
26,1,2
48,14,2
49,5,1
2,21,5
1,26,4
48,14,2
12,4,5
5,22,1
37,23,3
32,25,5
9,1,5
41,22,3
35,23,5
19,19,1
48,8,1
16,15,3
3,21,4
20,15,2
24,9,4
33,21,5
24,9,2
11,10,3
49,20,3
8,25,2
36,21,1
38,26,2
40,9,5
20,3,1
35,20,3
48,25,2
25,26,4
35,11,4
25,6,5
29,2,4
18,7,2
46,18,2
18,27,4
2,2,2
35,27,5
16,17,1
41,11,5
36,27,5
33,12,2
4,27,1
33,19,2
14,22,3
21,24,2
48,25,2
20,7,2
8,20,1
7,6,2
3,21,1
17,24,4
33,1,3
48,17,1
12,29,4
22,11,1
22,22,1
46,26,3
30,28,5
38,18,5
38,21,1
45,17,2
8,7,4
27,17,2
27,20,2
34,9,1
21,17,1
30,20,1
33,22,1
28,22,5
47,28,1
33,29,5
5,8,5
48,17,1
19,7,3
4,1,4
35,13,2
49,30,5
17,23,4
44,19,3
28,27,2
30,24,2
29,19,5
46,30,1
6,30,3
35,29,5
41,17,3
37,13,1
24,29,1
29,30,5
49,16,1
46,8,4
31,19,2
35,18,5
33,1,3
21,14,4
32,19,5
23,15,1
33,18,1
3,2,1
18,22,1
25,28,3
42,17,4
31,18,2
3,30,3
40,6,3
46,19,2
24,4,2
50,1,1
32,8,3
47,29,5
22,23,2
23,7,2
2,3,4
27,10,5
42,10,5
2,19,2
26,14,1
17,2,4
40,28,5
33,1,2
9,23,5
43,23,4
48,28,4
39,18,3
29,7,2
42,29,4
26,8,3
35,1,3
50,25,5
25,23,5
24,3,3
13,24,5
7,23,4
36,27,1
45,29,4
20,8,3
1,22,3
8,25,4
46,15,5
16,5,5
14,3,3
12,19,2
23,1,5
15,28,4
28,15,5
34,8,4
2,2,3
32,3,5
23,24,4
22,14,3
25,24,2
22,14,4
22,11,2
49,16,2
42,4,1
6,20,5
15,5,4
43,22,2
37,21,1
33,14,3
8,23,4
44,16,2
44,18,5
5,7,1
39,10,2
4,7,5
6,1,2
45,23,4
32,21,4
30,19,4
47,16,1
35,29,4
40,19,5
16,4,2
13,29,3
50,28,5
42,18,5
30,2,4
19,1,1
17,15,2
19,5,1
28,20,2
26,11,2
37,10,1
26,2,5
23,3,2
9,23,1
12,23,2
1,12,3
1,20,5
47,5,4
34,5,2
32,6,3
48,30,4
25,9,4
40,2,2
45,21,1
1,12,2
16,3,3
39,20,4
5,26,2
22,22,1
29,12,2
3,24,5
12,17,1
26,10,3
16,30,4
37,24,2
22,27,1
29,14,5
14,23,1
28,17,5
5,18,3
47,19,4
49,17,3
30,14,2
46,9,1
5,8,5
12,2,5
16,13,1
26,25,1
26,7,2
48,9,3
21,22,5
39,22,2
36,11,3
33,14,2
30,4,5
37,26,1
23,26,1
10,29,3
5,13,4
36,2,3
34,23,4
31,5,2
10,11,2
19,6,5
32,18,4
1,21,5
5,10,1
45,4,4
4,9,3
16,6,1
24,2,1
16,17,3
2,5,1
49,25,4
28,6,5
32,26,1
27,12,4
20,23,2
24,21,4
12,10,5
50,22,4
35,21,3
33,27,5
33,25,2
43,6,3
37,27,4
12,8,5
3,2,2
1,12,3
33,13,2
40,25,4
10,21,2
43,7,1
44,10,3
29,13,2
13,17,4
12,26,4
31,21,2
46,28,4
2,30,5
50,26,5
35,14,5
23,2,1
17,28,2
26,22,1
8,11,4
29,1,1
26,19,4
10,21,4
26,4,3
34,19,5
41,26,4
7,29,3
4,21,5
50,11,4
45,8,4
11,11,1
29,4,1
36,17,5
25,27,4
21,7,2
36,8,1
10,3,5
37,22,4
9,2,4
24,23,2
35,15,5
49,24,4
35,22,1
48,22,2
36,5,5
18,24,2
49,1,1
39,26,5
32,4,2
24,15,3
23,20,1
32,19,1
37,3,1
12,20,3
49,11,3
13,17,4
23,30,2
25,27,4
35,13,2
41,11,3
30,2,3
17,9,4
49,26,5
20,2,4
48,21,2
25,9,4
22,9,1
13,8,2
19,17,2
49,1,5
36,25,3
12,29,2
41,11,3
19,8,4
12,10,1
9,25,5
7,7,3
28,3,2
14,3,3
31,18,2
19,5,3
47,12,2
16,12,4
5,19,2
35,30,2
12,6,1
25,2,2
21,12,1
36,19,5
23,5,1
16,12,4
39,27,1
45,27,5
42,17,4
39,29,3
14,17,3
31,10,1
5,25,1
35,23,5
23,17,5
29,15,2
43,12,5
11,30,2
18,16,4
47,24,1
12,19,4
9,8,5
10,21,4
44,17,4
17,23,4
38,5,5
7,22,4
46,16,2
13,6,5
40,8,4
42,25,5
9,18,3
50,25,2
27,12,4
2,15,3
5,27,3
29,26,5
37,9,3
38,13,2
19,26,2
8,15,1
48,10,2
45,16,3
1,7,2
22,17,5
17,23,1
7,26,3
25,21,1
45,22,3
4,26,5
36,7,1
6,14,4
31,15,3
19,21,4
44,7,1
39,9,4
27,19,4
10,16,1
26,8,5
19,18,4
39,27,4
3,23,5
45,29,4
13,18,4
50,30,4
28,20,2
20,7,5
28,3,4
8,18,5
41,27,3
39,10,3
1,7,4
3,17,5
13,14,5
28,24,5
49,3,2
25,12,3
33,28,5
38,13,5
6,2,2
44,3,2
45,5,5
32,11,1
45,8,5
47,26,5
21,23,2
16,23,2
21,12,5
11,7,5
37,15,5
36,24,2
35,17,5
19,4,5
20,29,4
18,22,1
47,25,3
41,13,1
49,18,4
14,1,3
15,16,5
31,13,4
1,10,5
3,12,2
16,30,4
23,2,2
11,23,4
12,3,4
10,10,2
32,2,3
16,30,1
8,27,5
38,23,4
12,13,5
24,13,2
28,18,5
8,3,2
28,27,5
36,7,1
26,14,1
8,20,1
50,29,1
28,30,1
28,17,1
37,29,2
41,30,4
36,21,5
27,12,1
17,25,2
9,16,2
33,24,2
20,12,4
13,15,5
28,25,4
48,10,3
29,30,2
13,25,3
46,7,1
35,20,1
6,5,4
18,1,5
5,30,3
47,17,5
25,3,4
2,13,1
10,14,5
30,24,5
50,30,1
45,18,3
5,4,1
33,18,5
1,30,3
18,5,3
32,25,1
47,16,5
49,1,4
11,21,5
21,14,2
26,15,4
25,9,3
22,15,4
27,17,3
49,25,3
13,24,4
33,4,3
34,12,3
41,27,2
35,26,5
1,5,5
21,29,2
48,5,4
6,11,1
28,28,1
17,6,1
5,7,2
31,24,2
5,14,3
38,24,1
3,11,4
23,30,4
37,13,1
37,2,1
10,25,1
10,7,2
19,20,2
17,4,2
21,27,5
14,8,4
9,20,4
46,29,3
1,22,2
45,21,5
13,19,5
4,13,4
1,14,2
49,10,3
40,11,2
32,2,1
34,25,2
28,26,1
31,9,1
8,17,3
39,26,4
26,3,2
34,24,1
3,6,2
50,5,4
12,5,4
1,22,5
44,15,4
5,23,3
30,17,1
30,9,5
17,3,3
48,20,2
47,26,1
23,17,4
15,29,1
37,27,2
21,10,5
14,3,5
2,18,5
11,18,4
39,30,3
38,17,3
34,24,1
38,3,4
50,3,5
34,6,5
18,13,2
30,24,2
15,29,5
27,15,5
34,25,4
38,9,3
33,4,2
24,14,3
15,5,4
30,2,5
42,11,3
17,9,5
5,24,5
29,3,1
4,27,3
10,28,3
17,29,5
10,9,4
17,3,1
20,25,5
24,2,2
5,12,2
34,10,1
6,9,4
2,15,5
13,8,3
43,25,1
43,5,4
48,11,3
11,27,2
47,2,2
23,24,3
16,28,1
31,15,2
11,6,5
16,8,3
8,27,3
4,5,2
40,16,1
4,26,5
25,18,1
3,6,4
32,5,4
3,28,2
27,16,2
29,13,2
32,28,4
50,5,1
19,13,1
21,17,2
5,18,5
18,8,1
28,13,4
42,30,3
22,29,3
21,19,3
6,26,5
1,3,2
5,24,4
41,8,5
12,2,4
26,8,4
46,27,2
34,13,3
49,13,2
14,1,5
26,6,5
45,24,5
27,19,2
9,16,4
26,8,4
47,28,1
22,1,5
47,27,4
30,27,1
43,16,4
48,9,5
17,13,3
26,11,5
36,13,2
1,25,4
8,21,4
49,10,2
35,4,2
15,27,3
47,6,4
22,28,4
14,7,3
26,5,1
28,11,3
23,13,5
14,26,4
24,25,2
2,19,5
45,23,4
26,10,3
14,10,5
7,11,4
3,21,1
47,30,1
23,7,2
46,18,4
43,4,1
47,2,3
45,14,4
18,13,3
38,29,3
35,12,1
15,7,4
25,2,5
37,13,1
28,14,1
10,27,4
39,17,4
17,9,3
39,17,4
22,8,3
26,2,1
44,28,2
25,24,5
17,13,1
13,3,4
20,16,5
25,6,2
4,19,2
10,30,3
3,7,5
41,10,3
45,9,1
18,2,5
47,28,1
36,28,3
47,15,5
22,30,3
34,5,5
47,29,3
8,22,2
40,4,3
49,20,2
44,4,3
19,18,5
42,4,5
41,27,5
37,17,4
6,12,1
26,22,5
34,17,2
45,10,5
6,22,4
37,1,2
